Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FG%.1,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
Precious Achiuwa,C,23.0,TOR,38.0,11.0,23.3,3.9,8.1,0.482,"0,482",0.5,2.0,0.26,3.4,6.1,0.557,0.515,1.9,2.8,0.689,2.0,4.6,6.6,1.0,0.6,0.7,1.2,2.1,10.2,Bad
Steven Adams,C,29.0,MEM,42.0,42.0,27.0,3.7,6.3,0.597,"0,597",0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,Bad
Bam Adebayo,C,25.0,MIA,57.0,57.0,35.0,8.4,15.7,0.536,"0,536",0.0,0.2,0.083,8.4,15.5,0.543,0.537,4.4,5.5,0.8,2.6,7.2,9.8,3.2,1.2,0.8,2.5,2.8,21.2,Good
Ochai Agbaji,SG,22.0,UTA,39.0,2.0,15.6,1.8,3.8,0.483,"0,483",0.9,2.3,0.396,0.9,1.5,0.621,0.604,0.4,0.6,0.682,0.7,1.1,1.8,0.6,0.2,0.1,0.3,1.4,5.0,Bad
Santi Aldama,PF,22.0,MEM,56.0,18.0,22.0,3.3,7.0,0.474,"0,474",1.4,3.7,0.364,2.0,3.3,0.601,0.571,1.4,1.9,0.729,1.0,3.6,4.6,1.2,0.7,0.7,0.7,1.9,9.4,Bad
Nickeil Alexander-Walker,SG,24.0,TOT,40.0,3.0,14.5,2.3,4.9,0.479,"0,479",1.0,2.4,0.412,1.3,2.4,0.546,0.582,0.7,1.0,0.675,0.3,1.4,1.7,2.0,0.6,0.4,1.2,1.5,6.3,Bad
Nickeil Alexander-Walker,SG,24.0,UTA,36.0,3.0,14.7,2.3,4.7,0.488,"0,488",1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,Bad
Nickeil Alexander-Walker,SG,24.0,MIN,4.0,0.0,13.0,2.5,6.0,0.417,"0,417",1.3,2.5,0.5,1.3,3.5,0.357,0.521,0.0,0.3,0.0,0.5,1.5,2.0,0.5,0.3,0.5,1.0,0.8,6.3,Bad
Grayson Allen,SG,27.0,MIL,56.0,54.0,27.6,3.4,7.8,0.44,"0,440",2.0,4.9,0.404,1.4,2.8,0.503,0.569,1.7,1.9,0.906,0.9,2.5,3.4,2.4,0.8,0.2,1.1,1.6,10.5,Bad
Jarrett Allen,C,24.0,CLE,57.0,57.0,33.2,6.2,9.4,0.654,"0,654",0.0,0.2,0.111,6.2,9.3,0.664,0.655,2.5,3.4,0.733,3.2,6.7,9.9,1.6,0.8,1.2,1.5,2.2,14.8,Bad
Jose Alvarado,PG,24.0,NOP,61.0,10.0,21.5,3.3,8.0,0.411,"0,411",1.4,4.0,0.336,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,Bad
Kyle Anderson,PF,29.0,MIN,50.0,34.0,26.2,3.2,6.3,0.503,"0,503",0.6,1.4,0.423,2.6,4.9,0.527,0.551,1.7,2.2,0.764,0.8,4.1,4.8,4.1,1.1,0.9,1.4,2.1,8.6,Bad
